Deyimler;Türkçe Anlamı;İngilizce Anlamı
Hır çıkarmak;Kavga, gürültü, patırtı ve olaya sebep olmak;Fighting, noise, fuss and the event
Hızır gibi yetişmek;Dara düştüğü, çok sıkıştığı, çaresiz kaldığı bir zaman da, beklemediği bir kişi yardımına yetişmek;At a time when tare falls, stuck and desperate, to keep up with a person he does not expect
Hiçe saymak;Hiç önem ve değer vermemek;Not to give importance and value
Hizaya gelmek;"Aykırı, yanlış davranışlardan vazgeçmek; doğru yola gelmek, düzelmek";"To give up wrong behavior; to get on the right way, to improve"
Hop oturup hop kalkmak;a heyecanından ya da öfkesinden yerinde duramaz olmak;Being unable to stand in place of excitement or anger
Hüküm giymek;Mahkemece ya da birileri tarafından kendisine ceza verilmek;To be punished by the court or by someone
Hüsrana uğramak;Bir konuda beklenilen sonuca ulaşamamaktan dolayı çok üzülmek, acı çekmek;To be very upset about not reaching the expected result in a subject, to suffer
Icığını cıcığını çıkarmak;Bir meseleyi en ince ayrıntılarına kadar soruşturmak, incelemek;To investigate and examine a matter to the finest details
Ikınıp sıkınmak;Bir işi yapabilmek için kendini çok zorlamak;To force yourself to do a job
Irağı yakın etmek;Yapılması, gerçekleşmesi zor olan işleri, tüm güçlükleri yenerek gerçekleştirmek;To perform the work that is difficult to do, by defeating all the difficulties
Isıtıp ısıtıp önüne koymak;Daha önce meydana gelmiş bir olayı ya da bir işi bir düşünceyi yeniden, sık sık tekrarlamak;Repeating an event that has occurred before or a job again, often
Iskartaya çıkarmak;İşi yaramaz, değersiz bularak bir yana atmak;Throwing aside by finding the job naughty, worthless
Işık tutmak;Bilgisiyle, düşüncesiyle bir konuya açıklık getirmek, tutacağı yolu göstermek;To clarify a subject with his knowledge and thought, to show the way to hold
İcabına bakmak;Gereğini yerine getirmek;Fulfill
İcat çıkarmak;Hoşa gitmeyecek bir huy edinmek, hoş olmayan bir davranışta bulunmak;Getting a habit that will not be pleasing, doing an unpleasant behavior
İçi açılmak;Sıkıntısı dağılıp gitmek, ferahlamak;To go away, to refresh the distraction
İçi cız etmek;Ansızın içi sızlamak, çok üzülmek;Suddenly whining, feel very sad
İçi dışı bir (olmak); iki yüzlü davranmayan, düşündüğünü açıkça söyleyen; Who does not behave in a two -sided, clearly saying that he thinks
İçi geçmek; İstemediği halde uyuya kalmak;Fall asleep even though
İçi içine sığmamak;Çok heyecanlanmak, coşkunluk duymak ve sevincini belli etmekten kendini alamamak;To be very excited, to be enthusiastic and to be able to take himself from showing his joy
İçi kan ağlamak;" İçten, büyük bir üzüntü duymak; dıştan belli etmeyerek çok acımak";" Hearing a great sorrow; to pity too much by not revealing from the outside"
İçine doğmak; bir işin olduğunu ya da olacağını sezinlemek, tahmin etmek; To sense, to predict that there is or will be a job
İçine işlemek;Duygulanmak, etkilenmek;To be touched, to be impressed
İçine kapanmak;Duygularını kimseye açmamak, çevresindeki kişilerle ilişkisini kesmek, yalnızlığa gömülmek;Not to open your feelings to anyone, to cut off your relationship with the people around him, to be buried in loneliness
İçine kurt düşmek;Kuşkulanmak, kendisine zarar geleceğinden şüphe etmek;Suspicion, to doubt that it will be harmful
İçine sinmemek; İçi rahat etmemek, yaptığı şeyden memnun olmamak;Not being comfortable, not being satisfied with what he does
İçini dökmek;Dertlerini, sıkıntılarını, üzüntülerini anlatmak;To explain their troubles, troubles, sorrows
İçini kemirmek;Bir üzüntü ve düşünce dolayısıyla rahatsızlık duymak;To be uncomfortable with a sadness and thought
İçi yanmak;Büyük bir acı sebebiyle çok fazla üzülmek;To be too sad because of a great pain
İçler acısı;Oldukça üzücü, çok acıklı;Quite sad, very pathetic
İçli dışlı olmak;Teklifsiz, çok samimi olmak;Being very sincerely
İçtikleri su ayrı gitmemek;dost, samimi arkadaş olmak;Being a friendly, sincere friend
İğne atsan yere düşmez; Çok kalabalık, yürünecek gibi değil.; Very crowded, not to walk.
İğne ile kuyu kazmak;Zor denecek bir işi yetersiz araç ve gereçlerle başarmaya çalışmak;Trying to achieve a difficult job with inadequate tools and equipment
İğne ipliğe dönmek;Aşırı derecede zayıflamak, kilo vermek;Extreme weakening, losing weight
İki arada bir derede (kalmak);Sıkışık, zor şartlar altında (kalmak);Cramored, Under difficult conditions (stay)
İki ayağını bir pabuca sokmak;Bir kimseyi, bir işi yapması için zorlamak, sıkıntıya sokmak;To force someone to do a job, to put it in trouble
İki cihanda yüzü ak olmak;Doğru ve faziletli yaşayıp dünya ve ahirette mükafat görmek;Living correctly and virtuouss and seeing reward in the world and the Hereafter
İki dirhem bir çekirdek;Çok şık, özenli giyinmiş (kimse);Very stylish, carefully dressed (nobody)
İki eli kanda olsa;Ne kadar önemli olursa olsun, elindeki iş hiç bırakılamayacak derecede olsa bile;No matter how important it is, even if it is at all,
İki eli yakasında olmak;"hesap gününde ondan davacı olmak; hakkını istemek";"Being a plaintiff on the day of the account; ask for your right to"
İki gözü iki çeşme;Sürekli, çok ağlayarak;Constantly crying
İkili oynamak;Birbirine karşı olanlardan hem birini, hem ötekini çıkarı için destelemek;To support both one and the other for the other
İki paralık etmek;Değerini, onurunu çok düşürmek;Reducing your value and dignity
İki yakası bir araya gelmemek;Geçim sıkıntısı içinde olmak ve borçtan kurtulamamak, gelir ve giderini denkleştirememek;Being in a shortage of livelihoods and not being able to get rid of debt, not being able to equalize income and expense
İleri geri konuşmak;Yersiz, kırıcı, yaralayıcı biçimde konuşmak;Talking in an irrelevant, crusher, wounding way
İnce eleyip sık dokumak;Titizlik göstermek, bir şeyi en ince ayrıntılarına kadar araştırmak, gözden geçirmek;To show meticulousness, to investigate something to the finest details, to review
İn cin top oynamak; Issız, sessiz olmak, bir yerde hiçbir canlı yaratık bulunmamak;To be deserted, quiet, not to have any living creatures somewhere
İncir çekirdeğini doldurmaz;Çok az veya pek önemsiz;Very little or very insignificant
İpe un sermek; İstenilen işi yapmamak için birtakım bahaneler, sebepler ileri sürmek, güçlük çıkarmak, engeller göstermek;In order not to do the desired job, some excuses, reasons, difficulty, to show obstacles
İpin ucunu kaçırmak;"Bir yeri yönetmede veya bir şeyi kullanmada gereken ölçüyü kaçırıp, artık duruma hakim olamamak; çıkmaza girmek";"Not to miss the measure that needs to manage a place or to use something, and no longer control the situation; go to a dead end"
İpiyle kuyuya inilmez;Kendisine güvenilmez, ona güvenilerek bir işe girilmez;Unreliable, trusted by him
İple çekmek;Zamanın gelmesini sabırsızlıkla beklemek, çok istemek;Waiting for time for time to come, asking for a lot
İstifini bozmamak;Bir olay karşısında aldırış etmemek, durum ve davranışını hiç değiştirmemek;Not to mind an event, not to change the situation and behavior
İş başa düşmek;Beklediği yardım gelmeyince, kendi işini kendisi yapmak zorunda kalmak;When the help he expects does not come, having to do his own job
İş çığırından çıkmak;Bir iş asıl amaçtan çıkarak düzelmesi güç bir durum almak, bir bozukluk ve kargaşalık baş göstermek;A job is difficult to get out of the main purpose, taking a disorder and turmoil to start
İşi düşmek;Birinin yardımına ihtiyaç duymak;Need someone's help
İşe koşmak;Birini bir iş yapmak üzere görevlendirmek, göndermek;To assign, send someone to do a job
İşi başından aşmak;Pek çok işi olmak;Have a lot of work
İşi tıkırında olmak;İşi çok uygun ve iyi olmak;To be very convenient and good
İşi yokuşa sürmek;Yapılabilir, görülebilir işi yapmamak için güçlük çıkarmak;To do difficulty not to do the work that can be done, visible
İş sarpa sarmak;" İş, içinden çıkılması zor bir durum almak; engellerle karşılaşmak";" Work, to get a difficult situation to get out of; encounter obstacles"
İte kaka;Zorla, güçlükle;Forced, hardly
İzinden yürümek;Birine içten bağlanarak onun başladığı işi aynı anlayışla sürdürmek, fikirlerini ve hareketlerini aynen benimsemek;To maintain the work he started by connecting to someone with the same understanding, to adopt his ideas and movements exactly
Jeton düşmek;Anlamak, kavramak;Understanding, grasp
Jetonu geç düşmek;Bir konuyu, sorunu ya da düşünceyi geç ve güç anlamak;Understanding a subject, problem or thought and understanding power
Kabak (birinin) başına (başında) patlamak;"Birçok kimsenin ilgili olduğu olaydan yalnızca bir kimse zararlı çıkmak; beklenmediği halde, bir işin zararlı sonucuna katlanmak";"Only one of the events that many people are interested in is harmful; to endure the harmful conclusion of a job even though it is not expected"
Kabak tadı vermek;Bıktırmak, usanç vermek;Tired of it
Kabına sığmamak;Sevinç ve heyecanından taşkın hareketlerde bulunmak;To make floods from joy and excitement
Kabuğuna çekilmek;Tek başına kalmak, dış dünya ile ilgisini kesmek, kimse ile görüşmemek;Staying alone, cutting out of interest with the outside world, not meeting with anyone
Kafadan atmak;Bir konu üzerinde inceleme yapmadan, rast gele konuşmak;Talking on a topic without reviewing a topic
Kafadan kontak;Düşüncesiz, delice işler yapan, aklı kıt;Thinking, crazy things, mind -scarce
Kafa dengi;Davranışları, anlayışları, dünya görüşleri birbirine uymuş kimse;His behavior, understanding, world views fits each other
Kafa patlatmak;Bir konu üzerinde pek çok düşünmek, zihin yormak;Thinking a lot on a topic, making mind
Kafa tutmak;Karşı gelmek, direnmek, boyun eğmemek;To oppose, to resist, not to submit
Kafası kazan (gibi) olmak;Zihni yorulmak;Get tired
Kafası kızmak;Çok öfkelenip sinirlenmek;Get angry and get angry
Kafasına dank etmek;Çoktandır anlayamadığı bir meseleyi bir olay sebebiyle birden bire kavramak, anlamak;To understand a matter that he hasn't understood for a long time because of an event, to understand, understand
Kafasına koymak;Bir şeyi yapmaya kararlı olup zamanını beklemek;He's determined to do something and wait for his time
Kafası yerinde olmamak;O anda kafası çok yorgun olmak;At that moment to be very tired
Kağıda dökmek;Düşüncelerini, duygularını yazıya geçirmek;Passing your thoughts and emotions
Kağıt üzerinde kalmak;Yapılması kararlaştırıldığı halde uygulanmamak;Not to be applied even though it is decided
Kalbini kırmak;İncitmek, küstürecek kadar üzmek;Hurt, upset enough to offend
Kalburla su taşımak;Verimsiz, verim alınamayacak, olmayacak bir işle uğraşmak;To deal with an inefficient, efficiency that cannot be obtained or not
Kalburüstü;Benzerleri arasında üstün, seçkin, görünür;Supervised, distinguished, visible among the like
Kale almamak;Önemsiz görmek, sözünü etmeye değer bulmamak;Not finding worth mentioning
Kalıbını basmak;Bir şeye bütün içtenliği ile güvenmek, bir şeyi doğrulamak;Trusting something with all sincerity, verifying something
Kalıbının adamı olmamak;Görünüşünden bekleneni yapamaz olmak, umulanı ortaya koymamak;Being not expected of your appearance, not revealing what is expected
Kalıptan kalıba girmek;Çıkar sağlamak için değişik kılıklara girmek;Entering different disguises to provide interest
Kalp kazanmak;Güzel bir davranış ve sözle birilerinin sevgisini kazanmak, ilgisini çekmek;To gain the love of someone with a good behavior and word, attract attention
Kambersiz düğün olmaz;Bir toplantı, eğlence veya iş, en çok ilgili kişiler bulunmadan yapılırsa tadı çıkmaz;If a meeting, entertainment or work is made without the most concerned people, it does not taste.
Kambur üstüne kambur;Sıkıntı üstüne sıkıntı, terslik üstüne terslik;Boredom on boredom
Kanadı altına almak;Korumak, gözetmek, himayesi altına almak;To protect, to observe, to take under his protection
Kan ağlamak;Büyük bir üzüntü içinde olup yakınmak;In great sorrow and complain
Kanat germek;Birini korumak, gözetimi altına almak;To protect someone, to take the supervision
Kan başına sıçramak;Çok sinirlenmek, öfkelenmek;Getting very angry, getting angry
Kan gövdeyi götürmek;Çok kan akıtılmış olmak, çok insan öldürülmek;Being a lot of blood, too people to be killed
Kanı ağır;Davranışları yavaş, sevimsiz, konuşması insana sıkıntı veren, hoşa gitmeyen kimse;Their behavior is slow, unpleasant, speaking troubles to people, unpleasant
Kanı bozuk;Soysuz, iğrenç işler yapmaktan geri durmayan;Desolate, disgusting things
Kanı kaynamak;Hareketli, coşkun olma;Moving, enthusiasm
Kanı pahasına;Yaralanmayı veya öldürülmeyi göze alarak;Taking the risk of injury or murder
Kanıyla ödemek;Yaptığı işin cezasını hayatıyla ödemek;Paying his work with his life
Kan kusmak;Çok eziyet, sıkıntı çekmek;Very torment, suffering
Kan kusturmak;Çok büyük sıkıntı ve eziyet çektirmek;Great trouble and torment
Kanlı bıçaklı olmak;Birbirlerinin kanını dökecek, birbirlerini öldürecek kadar birbirlerine düşman olmak;Being hostile to each other enough to shed each other's blood, kill each other
Kanlı canlı;Sağlıklı, sapasağlam, dinç ve diri olduğu yüzünden belli olan;It is obvious because of its healthy, deviant, vigorous and alive
Kan ter içinde kalmak;Çok yorgun, terli, bitkin ve perişan durumda olmak;To be very tired, sweaty, exhausted and miserable
Kapağı atmak;Sıkıntılı bir yerden kurtulup rahat edeceği bir yere kavuşmak;To get rid of a troubled place and get a place where it will be comfortable
Kapı dışarı etmek;Kovmak, dışarı atmak;Shooting, throwing out
Kapısını aşındırmak;İstediğini elde edinceye kadar birinin yanına çok sık gidip gelmek;To go and go too often to someone until you get what you want
Kara çalmak;Birine iftira etmek, leke sürmek, haksız yere suçlamak;To slander someone, to stain, to blame unjustly
Kara gün dostu;Yalnız iyi günlerde değil sıkıntılı, üzücü, düşkünlük günlerinde de insanın yardımına koşan, dostunu yalnız bırakmayan kimse;Not only in good days, but troubled, sad, who runs to the help of people during the days of fondness, who does not leave his friend alone
Karalar bağlamak;Bir felaket dolayısıyla yas tutmak;Mourning a disaster for a disaster
Karaman’ın koyunu sonra çıkar oyunu;Dış görünüşe aldanmamalı, bir kişi ya da iş olağan görünebilir, ancak altından neler çıkabileceği hiç belli olmaz, o sonra görünür.;A person or business may seem usual, but what may come out of it is never clear, then it appears.
Karda gezip izini belli etmemek;Kimsenin sezemeyeceği biçimde gizli bir iş çevirmek, uygunsuz işler yapmak;Turning a secret job so that no one can sense, doing inappropriate jobs
Kargacık burgacık;Eğri büğrü, kötü, okunması güç, çarpık, düzensiz;Curved, bad, difficult to read, distorted, irregular
Kardeş payı yapmak;Eşit oranlarda bölmek, paylaştırmak;Divide and share in equal proportions
Karınca duası gibi;Çok küçük, sık ve okunaksız, birbirine girmiş;Very small, frequent and unrelated, intercimes
Karınca yuvası gibi kaynamak;Çok kalabalık ve hareketli olmak;Being too crowded and moving
Karınca kararınca;Az, önemsiz ve küçük de olsa, gücü yettiği kadar, elinden geldiğince;Even though it is less, insignificant and small, as much as he can, as much as he can
Karman çorman;Karmakarışık, çok karışık, düzensiz;Very confused, very complicated, irregular
Karnı geniş;Hiçbir şeyi tasa etmeyen, titizlenmeyen, gamsız;Not to carry anything, not meticulous, without scales
Karnı tok;sözlerine kanmamak, önem vermemek;not to be fooled by his words, not to care
Karnı tok sırtı pek;Geçimi iyi, hali vakti yerinde, para sıkıntısı olmayan;His livelihood is good, in the case of time, no money shortage
Karnı zil çalmak;Çok acıkmış olmak;Be very hungry
Kaş göz etmek;Kaş ve göz hareketleriyle bir işaret vermeye, istediğini bu yolla anlatmaya çalışmak;To give a sign with eyebrows and eye movements, to try to explain what you want in this way
Kaşıkla yedirip, sapıyla göz çıkarmak;Bir iyilik yaptıktan sonra, bu iyiliği hiçe indirecek bir kötülük yapmak;After doing a favor, doing an evil that will dismiss this good
Kaşla göz arasında;Çok çabuk, kimsenin sezmesine fırsat vermeyecek kadar az bir zaman içinde;Very quickly, in a little time to give no one opportunity to sense
Kaş yapayım derken göz çıkarmak;İşi düzelteyim, bir iyilik yapayım derken büsbütün bozmak ve büyük bir zarar vermek;When you say let me correct the job, do a favor
Katı yürekli;Acımasız, merhametsiz;Ruthless, merciless
Kayıtsız kalmak;Umursamamak, önem vermemek, ilgi göstermemek;Not to care, not pay attention, not to show interest
Kazan kaldırmak;Yönetime karşı topluca karşı gelmek, baş kaldırmak;Collectively opposing the administration, lifting the head
Kazık yutmuş gibi;Dimdik;Bolt upright
Kazın ayağı öyle değil;Durum veya meselenin sanılan gibi olmaması;The situation or the issue is not as thought
Keçileri kaçırmak;Düşünme yeteneğini kaybetmek, aklını oynatmak, delirmek;Losing your thinking ability, playing your mind, going crazy
Kedi ciğere bakar gibi (bakmak);İmrenerek, iştahla, ele geçirme isteği ile bakmak;Looking at the desire to seize with envy, appetite
Kedi gibi dört ayak üstüne düşmek;En zor, en tehlikeli durumdan zarar görmeden kurtulmak;Get rid of the most difficult, most dangerous situation
Kedi olalı bir fare tuttu;İlk defa, neden sonra kendisinden beklenen bir iş yapabildi;For the first time, why did he do a job expected from him later
Kefeni yırtmak;Ağır bir hasta ölüm tehlikesini atlamak;A serious patient skipping the danger of death
Kel başa şimşir tarak;Pek çok ihtiyaç giderilmeyi beklerken gereksiz özenti ve gösteriş;Unnecessary wannabe and pretension while waiting for many needs to be met
Keli görünmek;Bir kabahati, kusuru ortaya çıkmak;A misdemeanor, defect appearing
Kelle götürür gibi;Gerekli olmayan bir acelecilikle, bir şey ulaştıracakmış gibi çok hızlı koşarak;Running too quickly with a hasty that is not necessary
Kelleyi koltuğuna almak;Ölümü göze alarak bir işe kalkışmak;Attempting a job by taking the risk of death
Ölümü göze alarak bir işe kalkışmak;Tutumlu davranmak, açlığa ve susuzluğa katlanmak;Being frugal, enduring hunger and thirst
Kem küm etmek;Anlatmak istediğini açık seçik ifade edememek, bir soru karşısında bocalayıp cevap bulamayarak anlamsız sözler söylemek;Not being able to express what he wants to say, saying meaningless words by not being able to find answers in the face of a question
Kendi halinde (olmak);Sessiz, hiçbir şeye karışmayan, karışmak istemeyen, sakin (kimse);Quiet, not involved in anything, does not want to interfere, calm (nobody)
Kendi kendine gelin güvey olmak;Başkalarının ne diyeceğini hesaba katmadan, bir işi sadece kendi başına tasarlayıp olmuş sayarak sevinmek;To be happy by considering what others will say, just designing a job on its own
Kendi kendini yemek;İstediği iş olmadı diye gizli gizli üzülmek, kaygı duymak;To be worried secretly, worrying that he did not want to work
Kendinden geçmek;Kendini kaybetmek, bayılmak, bilinci işlemez olmak;Losing yourself, fainting, being aware of consciousness
Kendinden pay biçmek;Bir durumu kendi durumu ile karşılaştırmak, değerlendirmek;To compare and evaluate a situation with its own situation
Kendine yedirememek;Yapılan bir işi onur kırıcı görüp, kişiliğine dokunmuş sayarak tepki göstermek;Reacting by seeing a job degrading and touching his personality
Kendine yontmak;Ortaya çıkan fırsattan yararlanıp başkalarını düşünmeyerek hep kendi çıkarını sağlayacak yönde hareket etmek;To take advantage of the opportunity and not to think about others to move in the direction of providing your own interest
Kendini ağır satmak;Kendisinden yapılması istenen işi, birçok ricadan, birçok ısrardan sonra yapmayı kabul etmek;To accept the job that is to be done after many requests and many insistence
Kendini alamamak;İstemeyerek bir işi yapmak durumunda kalmak, yapmamayı edememek, kendini tutamayıp yapmak;To stay in unwillingly to do a job, not to be unable to do, to keep yourself
Kendini ateşe atmak;Bilerek zor ve tehlikeli bir işe girişmek;Knowingly engage in a difficult and dangerous job
Kendini dev aynasında görmek;"Kendisini olduğundan büyük bir adam sanmak; üstün, yetenekli, güçlü görmek";"Thinking of himself is a big man; Seeing superior, talented, strong"
Kendini kaptırmak;Bir şeyin etkisinden kendini kurtaramamak;Not being able to save himself from the effect of something
Kendini toplamak;Kötü, bozuk olan durumunu düzeltmek;Correcting the bad, corrupt status
Kendini tutamamak;Bir durum karşısında sessiz ve heyecana kapılmadan durmayı başaramamak, kendine hakim olamamak;In the face of a situation, being silent and excited to stop being able to stop, not being able to control yourself
Kendini vermek;Bir şeye bütün varlığıyla bağlanmak, başka şeylerle ilgisini kesip yalnızca onunla ilgilenmek, bir şeyi tüm gücüyle yapmaya çalışmak;To connect to something with all its existence, to cut off his attention with other things and to take care of him, to try to do something with all his strength
Kendi yağıyla kavrulmak;"Elindekiyle yetinmeye, kimseye muhtaç olmadan yaşamaya çalışmak; ihtiyaçlarını kendi karşılayarak kimseden yardım istememek";"To try to live without needing anyone; not asking anyone for help by meeting their needs"
Kene gibi yapışmak;"akasını bir türlü bırakmamak; istenmediği hâlde, çıkar sağladığı için birinin peşini bırakmamak";"not to leave the flow; not to let someone after someone, even though it is not requested,"
Kesenin ağzını açmak;Bol para harcamaya başlamak;Starting to spend plenty of money
Keyfinin kahyası (olmamak);Birisine karışmaya hakkı olmamak, istediği gibi yaşamasına engel olmamak;Not to interfere with someone, not to prevent him from living as he wishes
Keyif çatmak;Neşeli olmak, hoş ve eğlenceli zaman geçirmek;Being cheerful, spending a nice and fun time
Keyif ehli;Rahatına düşkün kimse, zevkinden bol bol yararlanan;Anyone who is fond of his comfortable benefit from his taste
Kılı kırk yarmak;Titizlenmek, çok dikkat ederek en ince ayrıntılarına kadar incelemek, önemle üstünde durmak;To be meticulous, to examine the finest details with very care, to emphasize on importance
Kılına dokunmamak;Bir kimseye, zarar verebilecek en ufak davranıştan bile kaçınmak;Avoiding even the slightest behavior that can harm someone
Kılını bile kıpırdatmamak;Bir durum karşısında en küçük bir tepki bile göstermemek, ilgisiz kalmak, harekete geçmemek;Not to show the slightest reaction in the face of a situation, to stay indifferent, not to take action
Kıl payı (kalmak);Çok az, az bir fark (kalmak);Very little, a little difference (stay)
Kırk dereden su getirmek;Birini kandırmak için çok dolambaçlı gerekçeler ileri sürmek, ikna edebilmek için çok uğraşmak;To put forward a lot of winding reasons to deceive someone, to be too hard to convince
Kırklara kırışmak;Bir kimse artık ortalıkta görünmez olmak;Someone is no longer invisible
Kırk tarakta bezi bulunmak;Birbirinden farklı birçok işle uğraşmak, birçok ilişkisi bulunmak, gizli ilişkileri olmak;To deal with many different jobs, to have many relationships, to have secret relationships
Kısmetini (nimetini) ayağıyla tepmek;"Kavuşacağı iyi bir durumu, kıymetini bilmeyerek reddetmek; istememek, değerlendirememek";"To reject a good situation, not knowing the value; not to want, not to evaluate"
Kıssadan hisse almak;Bir olaydan, anlatılan bir hikâyeden ders almak;Taking lessons from an event, a story told
Kıt kanaat (geçinmek);Yoksulluk içinde, zar zor ve güçlükle (geçinmek);In poverty, barely and with difficulty (getting along)
Kıvamına gelmek;En uygun zamanında olmak, gerekli ve istenilen şartlar yerine gelmek, istenilen duruma gelmek;To be in the most appropriate time, to be fulfilled by the required and desired conditions, to come to the desired situation
Kıyamet kopmak;Bir yerde çok gürültü ve patırtı kavga, telaş olmak;A lot of noise and fuss somewhere, to be a hurry
Kızarıp bozarmak;Utanarak renkten renge girmek, kimi duyguların etkisiyle yüzünün rengi değişmek;Embarrassing from color to color, changing the color of your face with the effect of some emotions
Kızıl (kızılca) kıyamet kopmak;"Bir meselede büyük, aşırı, gürültülü bir kavgaya yol açmak; yüksek sesli tartışma başlatmak";"Leading to a big, extreme, noisy fight in a matter; start a loud debate"
Kilit noktası;Bütün işlerin çözümlenmesi ona bağlı olan önemli unsur, üzerinde durulması gereken en önemli nokta, makam veya yer;An important element that depends on it, the most important point that should be emphasized, authority or place
Kimseye eyvallah etmemek;Kimseden yardım ve iyilik beklememek, kimsenin minneti altına girmemek;Not waiting for help and goodness from anyone, not to be under anyone's gratitude
Kirli çamaşırlarını ortaya dökmek;"Ayıp, suç ve kusurlarını, gizli kalmış yolsuzluklarını açığa çıkarmak; açıklamak, söylemek";"Shame, to reveal crimes and flaws, hidden corruption; explain, tell"
Kitabına uydurmak;Yasal olmayan bir işi kimi boşluklardan yararlanarak yasalmış gibi göstermek;To make an illegal job as if it were legal by taking advantage of some gaps
Kokusu çıkmak;Gizli yapılmış bir iş, daha sonra herkes tarafından bilinir olmaya başlamak;A hidden job, then starting to be known by everyone
Kolaçan etmek;Çevresini ya da kendisinden istenilen yeri dolaşıp ne var ne yok diye bakmak, olup biteni anlamak amacıyla dolaşmak;Wandering around or looking at the place where he is desired to look at it, wandering around to understand what is happening
Kol kanat olmak;Yardım etmek, gözetmek, bir kimseyi koruyuculuğu altına almak;To help, to observe, to take a person under protection
Koltukları kabarmak;Kendisine ya da yakınlarına yapılan övgüden ötürü kıvanç duyup büyüklenmek, böbürlenmek;To be proud of the praise made to him or his relatives, to be grown and boast
Kolu kanadı kırılmak;Çaresiz duruma düşmek, bir şey yapamaz hale gelmek;Falling into a helpless situation
Korktuğu başına gelmek;Endişe duyduğu, kaygılandığı, olmasını istemediği şeyle karşı karşıya gelmek;To face what he is worried about, worried, does not want to have
Koyun kaval dinler gibi;Düşünmeden, hiçbir şeyi anlamadan, ne denildiğini kavramadan dinlemek;To listen without thinking, understanding anything, without understanding what it is called
Kozunu paylaşmak;Aradaki anlaşmazlığı zora başvurarak, üstün olan güce dayandırarak çözümlemek, sona erdirmek;To resolve the dispute with difficulty and to analyze on the basis of superior power, to terminate
Kök salmak;Bir yere iyice, ayrılmamacasına yerleşmek;To settle somewhere, to settle
Kök söktürmek;Uğraştırmak, güçlük çıkarmak, engel olmak;To engage, to make difficulties, to prevent
Kör dövüşü;Sonuç alınamayacak ve birbirini engelleyecek biçimde, bir birinden habersiz düzensiz ve uyumsuz çabalama;Irregular and incompatible effortlessly unaware of each other in a way that cannot be obtained and block each other
Köstek olmak;Engel olmak;Prevent
Körü körüne;Düşünüp taşınmadan, nasıl sonuçlanacağını hesaplamadan, dikkat etmeden;Without thinking and moving, calculating how to conclude, without paying attention
Kraldan çok kralcı olmak;Birinin davasını ondan daha çok savunur olmak;To defend someone's case more than him
Kucak açmak;İhtiyaç sahibi birine sığınacak yer vermek, onu korumak;To take a refuge for someone in need, protect him
Kukumav kuşu gibi;Yapayalnız, tek başına;All alone, alone
Kulağı delik;Olup bitenleri çabuk haber alan, hemen her şeyden haberi olan;Quickly informed what is happening, who knows about almost everything
Kulağı kirişte (olmak);Söylenecek sözü, gelecek haberi dikkatlice (beklemek);The word to be said, the future news carefully (wait)
Kulağına çalınmak;Bir söz, bir haber başkasına söylenirken kendisi de şöyle böyle duymak;A word, while a news is told to someone else, hearing itself like this
Kulağına kar suyu kaçmak;Rahatını bozan bir haber işitmek, sıkışık bir duruma düşmek;Hearing news that disrupts your comfort, falling into a cramped situation
Kulağına küpe olmak;Başına gelen bir işten, gördüğü olaydan ders alıp hiç unutmamak;Not to forget a job that happened to him, from the event he sees
Kulağını açmak;Bütün dikkatini vererek dinlemek, söylenenlere dikkat etmek;Listening by giving all the attention, paying attention to what is said
Kulak asmamak;Aldırıp önemsememek, dinlememek;Not to mind, not to listen
Kulak dolgunluğu;Duya duya elde edinilen yarı buçuk bilgi;Semi -and -a -half information obtained
Kulak kabartmak;Çaktırmadan, belli etmemeye çalışarak dinlemek;Listening without trying not to show
Kulak kesilmek;"Çok iyi, bütün dikkatini vererek dinlemek; dikkatini toplayarak duymaya çalışmak";"Very good, listening to all your attention; Trying to hear by taking his attention"
Kulaklarını çınlatmak;Birini iyi duygularla anmak;Commemorate someone with good emotions
Kul köle (veya kurban) olmak;Tam bir doğruluk içinde gönülden bağlanmak, bağlılığın gerektirdiği fedakarlığı yapmaya hazır olmak;To be connected to the heart in complete accuracy, to be ready to make the sacrifice required by commitment
Kulp takmak;Bir kusur, bir bahane bulmak;Finding a flaw, an excuse
Kumpas kurmak;Birini aldatmak için tuzak kurmak, gizli bir iş düzenlemek;Establishing a trap to deceive someone, organizing a secret job
Kurtlarını dökmek;Öteden beri yapmak istediği şeyi bol bol yapıp hevesini almak;Do what he wants to do with plenty and get his enthusiasm
Kurt masalı okumak;İnandırıcı, gereksiz, asılsız sözler (söylemek);Convincing, unnecessary, unfounded words (to say)
Kuru iftira; Hiçbir kanıtı olmayan suçlama;Accusation without any evidence
Kuş beyinli;Akılsız, aptal, ahmak;Mindless, stupid, fool
Kuş kadar canı olmak;Küçük, cılız, zayıf, çelimsiz bir vücuda sahip olmak;Having a small, scratch, weak, frailless body
Kuş sütüyle beslemek;En pahalı, değerli az bulunur besinlerle yiyip içirmek;Eating and drinking with the most expensive, valuable rare foods
Kuş uçmaz, kervan geçmez;Çok ıssız, sapa, kır, insanın uğramadığı yer;Very deserted, stalk, country, where people do not visit
Kuş uçurmamak;"Hiç kimsenin geçmesine, kaçmasına izin vermemek; imkân tanımamak, bunun için çok dikkatli davranmak";"Not allowing anyone to pass, escape; not allowing the opportunity, to be very careful for it"
